id_entreprise,id_secteur,nom_entreprise,taille,categorie,siege_social,pays
1,1,Devoteam,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
2,2,CEGID,De 1 001 à 5 000 employés,Grande entreprise,Lyon,France
3,1,Astek,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
4,3,Astek Group,De 1 à 50 employés,TPE,Altrincham Angleterre,Royaume-Uni
5,1,Keyrus Group,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
6,4,Yongzhi Plastic Electronics (Shenzhen) Co.,Entre 201 et 500 employés,ETI,Hong Kong,Hong Kong
7,5,Thales,Plus de 10 000 employés,Multinationale,Nanterre,France
8,6,Thales-Raytheon Systems,De 501 à 1 000 employés,Moyenne entreprise,Fullerton CA,États-Unis
9,7,L&T Thales Technology Services,Inconnu,Inconnu,Inconnu,Inconnu
10,1,JEMS Group,Entre 201 et 500 employés,ETI,Neuilly,France
11,2,Capgemini,Plus de 10 000 employés,Multinationale,Paris,France
12,8,Capgemini Invent,De 5 001 à 10 000 employés,Très grande entreprise,Courbevoie,France
13,9,Bayer,Plus de 10 000 employés,Multinationale,Leverkusen,Allemagne
14,10,Open,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
15,11,Open Minds Open Hearts Day Care,De 1 à 50 employés,TPE,New Orleans LA,États-Unis
16,2,OpenText,Plus de 10 000 employés,Multinationale,Waterloo ON,Canada
17,12,Open Sourcing,De 1 à 50 employés,TPE,Paris,France
18,13,Artefact,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
19,13,Artefact Group,De 51 à 200 employés,PME,Seattle WA,États-Unis
20,11,Artefacts Studio,De 1 à 50 employés,TPE,Villeurbanne,France
21,11,Openfield Live,De 1 à 50 employés,TPE,Paris,France
22,12,Phaidon International,De 501 à 1 000 employés,Moyenne entreprise,Londres Angleterre,Royaume-Uni
23,13,D2SI,De 51 à 200 employés,PME,Paris,France
24,13,Abaka,De 1 à 50 employés,TPE,Rennes,France
25,11,Adthink-Media,De 51 à 200 employés,PME,Tassin,France
26,4,SKF,Plus de 10 000 employés,Multinationale,Gothenburg,Suède
27,14,GFI,De 51 à 200 employés,PME,Moscou,Russie
28,1,Gfi Informatique,Plus de 10 000 employés,Multinationale,Saint-Ouen,France
29,15,GFI Software,De 51 à 200 employés,PME,Austin TX,États-Unis
30,16,GFI Group,De 1 001 à 5 000 employés,Grande entreprise,New York NY,États-Unis
31,2,ACCEO Solutions,De 501 à 1 000 employés,Moyenne entreprise,Montréal QC,Canada
32,1,Expertime,De 51 à 200 employés,PME,Viroflay,France
33,17,Accor,Plus de 10 000 employés,Multinationale,Paris,France
34,18,ibis,Plus de 10 000 employés,Multinationale,Courcouronnes,France
35,19,La Redoute,De 1 001 à 5 000 employés,Grande entreprise,Roubaix,France
37,20,Veolia,Plus de 10 000 employés,Multinationale,Paris,France
38,18,OTV,Plus de 10 000 employés,Multinationale,Saint-Maurice,France
39,7,Veolia Water Tech,Inconnu,Inconnu,Paris,France
40,11,Groupe NICOLLIN - Groupe VEOLIA,Inconnu,Inconnu,Saint-Fons,France
41,11,Adsearch,De 51 à 200 employés,PME,Paris,France
42,6,Transdev,Plus de 10 000 employés,Multinationale,Lombard IL,États-Unis
43,11,Freelance-info.fr,Iconnu,Iconnu,Paris,France
44,12,Groupe Adéquat,De 501 à 1 000 employés,Moyenne entreprise,Lyon,France
45,11,Multimedia France Productions,De 51 à 200 employés,PME,Paris,France 
46,18,Modis,De 5 001 à 10 000 employés,Très grande entreprise,Zurich,Suisse
47,21,UK Ministry of Defence,Plus de 10 000 employés,Multinationale,Londres Angleterre,Royaume-Uni
48,1,Smile Group,De 1 001 à 5 000 employés,Grande entreprise,Asnières-sur-Seine,France
49,1,Atos,Plus de 10 000 employés,Multinationale,Bezons,France
50,15,Cegedim,De 1 001 à 5 000 employés,Grande entreprise,Boulogne-Billancourt,France
51,10,Groupe Creative,Entre 201 et 500 employés,ETI,Rennes,France
52,12,Robert Half,Plus de 10 000 employés,Multinationale,Menlo Park CA,États-Unis
53,22,Lacoste,De 5 001 à 10 000 employés,Très grande entreprise,Paris,France
54,11,Lacoste Traiteur,De 51 à 200 employés,PME,Eysines,France
55,23,CGIAR,De 5 001 à 10 000 employés,Très grande entreprise,Montpellier,France
56,24,Volvo Group,Plus de 10 000 employés,Multinationale,Gothenburg,Suède
57,24,Volvo Trucks,De 1 001 à 5 000 employés,Grande entreprise,Greensboro NC,États-Unis
58,4,Volvo Cars,Plus de 10 000 employés,Multinationale,Gothenburg,Suède
59,4,Volvo Construction Equipment,Entre 201 et 500 employés,ETI,Asheville NC,États-Unis
61,11,Volvo Information Technology,Inconnu,Inconnu,,Suède
62,27,Feu Vert,De 1 001 à 5 000 employés,Grande entreprise,Écully,France
63,28,SeLoger,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
64,4,CNH Industrial,Plus de 10 000 employés,Multinationale,Londres Angleterre,Royaume-Uni
65,29,CNH Industrial Capital,Entre 201 et 500 employés,ETI,Racine WI,États-Unis
66,11,SOTRAVO Filiale SOLOCAL GROUP,Inconnu,Inconnu,Montigny,France
67,30,SoLocal Group,De 1 001 à 5 000 employés,Grande entreprise,Sèvres,France
68,11,Morgan Philips Group,De 51 à 200 employés,PME,Luxembourg,Luxembourg
69,12,Morgan Philips Executive Search,Entre 201 et 500 employés,ETI,Luxembourg,Luxembourg
70,12,Montreal Associates,De 51 à 200 employés,PME,Londres Angleterre,Royaume-Uni
73,11,Atos Consulting,De 1 001 à 5 000 employés,Grande entreprise,Nyon,Suisse
74,31,STM,De 5 001 à 10 000 employés,Très grande entreprise,Montréal QC,Canada
83,32,Polytechnique Montréal,De 1 001 à 5 000 employés,Grande entreprise,Montréal QC,Canada
90,33,BMO Financial Group,Plus de 10 000 employés,Multinationale,Toronto ON,Canada
97,32,Concordia University,De 5 001 à 10 000 employés,Très grande entreprise,Montréal QC,Canada
106,32,University of Montreal,De 5 001 à 10 000 employés,Très grande entreprise,Montréal QC,Canada
113,34,CRIM (Computer Research Institute of Montreal),Inconnu,Inconnu,Montréal QC,Canada
121,14,Eidos Montreal,Entre 201 et 500 employés,ETI,Montréal QC,Canada
126,11,ALTRAN,Inconnu,Inconnu,Hambourg,Allemagne
129,15,Softeam,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
132,11,Altran Telnet,Inconnu,Inconnu,Paris,France
